support	itemsets
0.19859402460456943	frozenset({'area_mean_Average'})
0.20035149384885764	frozenset({'area_mean_High'})
0.20035149384885764	frozenset({'area_mean_Low'})
0.20035149384885764	frozenset({'area_mean_Very_high'})
0.20035149384885764	frozenset({'area_mean_Very_low'})
0.19859402460456943	frozenset({'area_se_Average'})
0.20035149384885764	frozenset({'area_se_High'})
0.2038664323374341	frozenset({'area_se_Low'})
0.20035149384885764	frozenset({'area_se_Very_high'})
0.1968365553602812	frozenset({'area_se_Very_low'})
0.19859402460456943	frozenset({'area_worst_Average'})
0.19859402460456943	frozenset({'area_worst_High'})
0.20035149384885764	frozenset({'area_worst_Low'})
0.20210896309314588	frozenset({'area_worst_Very_high'})
0.20035149384885764	frozenset({'area_worst_Very_low'})
0.19859402460456943	frozenset({'compactness_mean_Average'})
0.20035149384885764	frozenset({'compactness_mean_High'})
0.20035149384885764	frozenset({'compactness_mean_Low'})
0.20035149384885764	frozenset({'compactness_mean_Very_high'})
0.20035149384885764	frozenset({'compactness_mean_Very_low'})
0.19859402460456943	frozenset({'compactness_se_Average'})
0.20035149384885764	frozenset({'compactness_se_High'})
0.20210896309314588	frozenset({'compactness_se_Low'})
0.20035149384885764	frozenset({'compactness_se_Very_high'})
0.19859402460456943	frozenset({'compactness_se_Very_low'})
0.19859402460456943	frozenset({'compactness_worst_Average'})
0.20035149384885764	frozenset({'compactness_worst_High'})
0.20035149384885764	frozenset({'compactness_worst_Low'})
0.20035149384885764	frozenset({'compactness_worst_Very_high'})
0.20035149384885764	frozenset({'compactness_worst_Very_low'})
0.19859402460456943	frozenset({'concave points_mean_Average'})
0.20035149384885764	frozenset({'concave points_mean_High'})
0.20035149384885764	frozenset({'concave points_mean_Low'})
0.20035149384885764	frozenset({'concave points_mean_Very_high'})
0.20035149384885764	frozenset({'concave points_mean_Very_low'})
0.1968365553602812	frozenset({'concave points_se_Average'})
0.20210896309314588	frozenset({'concave points_se_High'})
0.20035149384885764	frozenset({'concave points_se_Low'})
0.20035149384885764	frozenset({'concave points_se_Very_high'})
0.20035149384885764	frozenset({'concave points_se_Very_low'})
0.1968365553602812	frozenset({'concave points_worst_Average'})
0.20210896309314588	frozenset({'concave points_worst_High'})
0.20035149384885764	frozenset({'concave points_worst_Low'})
0.20035149384885764	frozenset({'concave points_worst_Very_high'})
0.20035149384885764	frozenset({'concave points_worst_Very_low'})
0.19859402460456943	frozenset({'concavity_mean_Average'})
