support	itemsets
0.7703703703703704	frozenset({'Chest_pain_type_Very_high'})
0.48518518518518516	frozenset({'EKG_results_0'})
0.5074074074074074	frozenset({'EKG_results_2'})
0.6703703703703704	frozenset({'Exercise_angina_0'})
0.3296296296296296	frozenset({'Exercise_angina_1'})
0.8518518518518519	frozenset({'FBS_over_120_0'})
0.5555555555555556	frozenset({'Heart_Disease_A'})
0.4444444444444444	frozenset({'Heart_Disease_P'})
0.4074074074074074	frozenset({'Number_of_vessels_fluro_Very_high'})
0.5925925925925926	frozenset({'Number_of_vessels_fluro_Very_low'})
0.3888888888888889	frozenset({'ST_depression_Very_low'})
0.32222222222222224	frozenset({'Sex_0'})
0.6777777777777778	frozenset({'Sex_1'})
0.48148148148148145	frozenset({'Slope_of_ST_1'})
0.45185185185185184	frozenset({'Slope_of_ST_2'})
0.562962962962963	frozenset({'Thallium_3'})
0.3851851851851852	frozenset({'Thallium_7'})
0.362962962962963	frozenset({'Chest_pain_type_Very_high', 'EKG_results_0'})
0.4	frozenset({'EKG_results_2', 'Chest_pain_type_Very_high'})
0.4703703703703704	frozenset({'Exercise_angina_0', 'Chest_pain_type_Very_high'})
0.3	frozenset({'Chest_pain_type_Very_high', 'Exercise_angina_1'})
0.6592592592592592	frozenset({'Chest_pain_type_Very_high', 'FBS_over_120_0'})
0.37037037037037035	frozenset({'Heart_Disease_A', 'Chest_pain_type_Very_high'})
0.4	frozenset({'Heart_Disease_P', 'Chest_pain_type_Very_high'})
0.34814814814814815	frozenset({'Number_of_vessels_fluro_Very_high', 'Chest_pain_type_Very_high'})
0.4222222222222222	frozenset({'Chest_pain_type_Very_high', 'Number_of_vessels_fluro_Very_low'})
0.5222222222222223	frozenset({'Chest_pain_type_Very_high', 'Sex_1'})
0.337037037037037	frozenset({'Slope_of_ST_1', 'Chest_pain_type_Very_high'})
0.3814814814814815	frozenset({'Slope_of_ST_2', 'Chest_pain_type_Very_high'})
0.3962962962962963	frozenset({'Thallium_3', 'Chest_pain_type_Very_high'})
0.337037037037037	frozenset({'Thallium_7', 'Chest_pain_type_Very_high'})
0.34814814814814815	frozenset({'Exercise_angina_0', 'EKG_results_0'})
0.4222222222222222	frozenset({'FBS_over_120_0', 'EKG_results_0'})
0.3148148148148148	frozenset({'Heart_Disease_A', 'EKG_results_0'})
0.3111111111111111	frozenset({'Number_of_vessels_fluro_Very_low', 'EKG_results_0'})
0.32222222222222224	frozenset({'EKG_results_0', 'Sex_1'})
0.31851851851851853	frozenset({'EKG_results_2', 'Exercise_angina_0'})
0.4222222222222222	frozenset({'EKG_results_2', 'FBS_over_120_0'})
0.35555555555555557	frozenset({'EKG_results_2', 'Sex_1'})
0.5703703703703704	frozenset({'Exercise_angina_0', 'FBS_over_120_0'})
0.4703703703703704	frozenset({'Heart_Disease_A', 'Exercise_angina_0'})
0.4444444444444444	frozenset({'Exercise_angina_0', 'Number_of_vessels_fluro_Very_low'})
0.3074074074074074	frozenset({'ST_depression_Very_low', 'Exercise_angina_0'})
0.4148148148148148	frozenset({'Exercise_angina_0', 'Sex_1'})
0.3888888888888889	frozenset({'Slope_of_ST_1', 'Exercise_angina_0'})
0.45185185185185184	frozenset({'Thallium_3', 'Exercise_angina_0'})
0.4703703703703704	frozenset({'Heart_Disease_A', 'FBS_over_120_0'})
0.3814814814814815	frozenset({'Heart_Disease_P', 'FBS_over_120_0'})
0.3296296296296296	frozenset({'Number_of_vessels_fluro_Very_high', 'FBS_over_120_0'})
0.5222222222222223	frozenset({'Number_of_vessels_fluro_Very_low', 'FBS_over_120_0'})
0.3296296296296296	frozenset({'ST_depression_Very_low', 'FBS_over_120_0'})
0.5703703703703704	frozenset({'FBS_over_120_0', 'Sex_1'})
0.4074074074074074	frozenset({'Slope_of_ST_1', 'FBS_over_120_0'})
0.4	frozenset({'Slope_of_ST_2', 'FBS_over_120_0'})
0.4888888888888889	frozenset({'Thallium_3', 'FBS_over_120_0'})
0.32222222222222224	frozenset({'Thallium_7', 'FBS_over_120_0'})
0.4444444444444444	frozenset({'Heart_Disease_A', 'Number_of_vessels_fluro_Very_low'})
0.3074074074074074	frozenset({'Heart_Disease_A', 'Sex_1'})
0.362962962962963	frozenset({'Slope_of_ST_1', 'Heart_Disease_A'})
0.44074074074074077	frozenset({'Thallium_3', 'Heart_Disease_A'})
0.37037037037037035	frozenset({'Heart_Disease_P', 'Sex_1'})
0.3037037037037037	frozenset({'Number_of_vessels_fluro_Very_high', 'Sex_1'})
0.37407407407407406	frozenset({'Number_of_vessels_fluro_Very_low', 'Sex_1'})
0.31851851851851853	frozenset({'Slope_of_ST_1', 'Number_of_vessels_fluro_Very_low'})
0.3962962962962963	frozenset({'Thallium_3', 'Number_of_vessels_fluro_Very_low'})
0.31851851851851853	frozenset({'ST_depression_Very_low', 'Slope_of_ST_1'})
0.3148148148148148	frozenset({'Slope_of_ST_1', 'Sex_1'})
0.3148148148148148	frozenset({'Slope_of_ST_2', 'Sex_1'})
0.337037037037037	frozenset({'Thallium_7', 'Sex_1'})
0.34814814814814815	frozenset({'Thallium_3', 'Slope_of_ST_1'})
0.3111111111111111	frozenset({'FBS_over_120_0', 'Chest_pain_type_Very_high', 'EKG_results_0'})
0.34074074074074073	frozenset({'EKG_results_2', 'Chest_pain_type_Very_high', 'FBS_over_120_0'})
0.40370370370370373	frozenset({'Exercise_angina_0', 'Chest_pain_type_Very_high', 'FBS_over_120_0'})
0.3074074074074074	frozenset({'Exercise_angina_0', 'Heart_Disease_A', 'Chest_pain_type_Very_high'})
0.3037037037037037	frozenset({'Thallium_3', 'Exercise_angina_0', 'Chest_pain_type_Very_high'})
0.3148148148148148	frozenset({'Heart_Disease_A', 'Chest_pain_type_Very_high', 'FBS_over_120_0'})
0.34444444444444444	frozenset({'Heart_Disease_P', 'Chest_pain_type_Very_high', 'FBS_over_120_0'})
0.37407407407407406	frozenset({'Chest_pain_type_Very_high', 'Number_of_vessels_fluro_Very_low', 'FBS_over_120_0'})
0.44074074074074077	frozenset({'Chest_pain_type_Very_high', 'FBS_over_120_0', 'Sex_1'})
0.34074074074074073	frozenset({'Slope_of_ST_2', 'Chest_pain_type_Very_high', 'FBS_over_120_0'})
0.34814814814814815	frozenset({'Thallium_3', 'Chest_pain_type_Very_high', 'FBS_over_120_0'})
0.3296296296296296	frozenset({'Heart_Disease_P', 'Chest_pain_type_Very_high', 'Sex_1'})
0.3925925925925926	frozenset({'Heart_Disease_A', 'Exercise_angina_0', 'FBS_over_120_0'})
0.3925925925925926	frozenset({'Exercise_angina_0', 'Number_of_vessels_fluro_Very_low', 'FBS_over_120_0'})
0.34074074074074073	frozenset({'Exercise_angina_0', 'FBS_over_120_0', 'Sex_1'})
0.3296296296296296	frozenset({'Slope_of_ST_1', 'Exercise_angina_0', 'FBS_over_120_0'})
0.3888888888888889	frozenset({'Thallium_3', 'Exercise_angina_0', 'FBS_over_120_0'})
0.37777777777777777	frozenset({'Number_of_vessels_fluro_Very_low', 'Heart_Disease_A', 'Exercise_angina_0'})
0.3148148148148148	frozenset({'Slope_of_ST_1', 'Exercise_angina_0', 'Heart_Disease_A'})
0.3814814814814815	frozenset({'Thallium_3', 'Heart_Disease_A', 'Exercise_angina_0'})
0.337037037037037	frozenset({'Thallium_3', 'Exercise_angina_0', 'Number_of_vessels_fluro_Very_low'})
0.3074074074074074	frozenset({'Thallium_3', 'Slope_of_ST_1', 'Exercise_angina_0'})
0.3888888888888889	frozenset({'Heart_Disease_A', 'Number_of_vessels_fluro_Very_low', 'FBS_over_120_0'})
0.3037037037037037	frozenset({'Slope_of_ST_1', 'FBS_over_120_0', 'Heart_Disease_A'})
0.3814814814814815	frozenset({'Thallium_3', 'Heart_Disease_A', 'FBS_over_120_0'})
0.32592592592592595	frozenset({'Heart_Disease_P', 'FBS_over_120_0', 'Sex_1'})
0.31851851851851853	frozenset({'Number_of_vessels_fluro_Very_low', 'FBS_over_120_0', 'Sex_1'})
0.3592592592592593	frozenset({'Thallium_3', 'Number_of_vessels_fluro_Very_low', 'FBS_over_120_0'})
0.3	frozenset({'Thallium_3', 'Slope_of_ST_1', 'FBS_over_120_0'})
0.35185185185185186	frozenset({'Thallium_3', 'Heart_Disease_A', 'Number_of_vessels_fluro_Very_low'})
0.3037037037037037	frozenset({'Thallium_3', 'Slope_of_ST_1', 'Heart_Disease_A'})
0.32592592592592595	frozenset({'Exercise_angina_0', 'Heart_Disease_A', 'Number_of_vessels_fluro_Very_low', 'FBS_over_120_0'})
0.3296296296296296	frozenset({'Thallium_3', 'Heart_Disease_A', 'Exercise_angina_0', 'FBS_over_120_0'})
0.3037037037037037	frozenset({'Thallium_3', 'Exercise_angina_0', 'Number_of_vessels_fluro_Very_low', 'FBS_over_120_0'})
0.3037037037037037	frozenset({'Thallium_3', 'Number_of_vessels_fluro_Very_low', 'Heart_Disease_A', 'Exercise_angina_0'})
0.3148148148148148	frozenset({'Thallium_3', 'Heart_Disease_A', 'Number_of_vessels_fluro_Very_low', 'FBS_over_120_0'})
