support	itemsets
0.5403050108932462	frozenset({'ChestPainType_ASY'})
0.5958605664488017	frozenset({'ExerciseAngina_N'})
0.40413943355119825	frozenset({'ExerciseAngina_Y'})
0.7668845315904139	frozenset({'FastingBS_0'})
0.4466230936819172	frozenset({'HeartDisease_0'})
0.5533769063180828	frozenset({'HeartDisease_1'})
0.5294117647058824	frozenset({'Oldpeak_Low'})
0.6013071895424836	frozenset({'RestingECG_Normal'})
0.5010893246187363	frozenset({'ST_Slope_Flat'})
0.43028322440087147	frozenset({'ST_Slope_Up'})
0.789760348583878	frozenset({'Sex_M'})
0.3867102396514161	frozenset({'FastingBS_0', 'ChestPainType_ASY'})
0.42701525054466233	frozenset({'HeartDisease_1', 'ChestPainType_ASY'})
0.3464052287581699	frozenset({'ST_Slope_Flat', 'ChestPainType_ASY'})
0.46405228758169936	frozenset({'ChestPainType_ASY', 'Sex_M'})
0.46949891067538124	frozenset({'FastingBS_0', 'ExerciseAngina_N'})
0.3867102396514161	frozenset({'ExerciseAngina_N', 'HeartDisease_0'})
0.42919389978213507	frozenset({'Oldpeak_Low', 'ExerciseAngina_N'})
0.3758169934640523	frozenset({'RestingECG_Normal', 'ExerciseAngina_N'})
0.3671023965141612	frozenset({'ExerciseAngina_N', 'ST_Slope_Up'})
0.4324618736383442	frozenset({'ExerciseAngina_N', 'Sex_M'})
0.3442265795206972	frozenset({'HeartDisease_1', 'ExerciseAngina_Y'})
0.3572984749455338	frozenset({'Sex_M', 'ExerciseAngina_Y'})
0.39869281045751637	frozenset({'FastingBS_0', 'HeartDisease_0'})
0.3681917211328976	frozenset({'FastingBS_0', 'HeartDisease_1'})
0.434640522875817	frozenset({'FastingBS_0', 'Oldpeak_Low'})
0.4803921568627451	frozenset({'FastingBS_0', 'RestingECG_Normal'})
0.3616557734204793	frozenset({'FastingBS_0', 'ST_Slope_Flat'})
0.3638344226579521	frozenset({'FastingBS_0', 'ST_Slope_Up'})
0.5849673202614379	frozenset({'FastingBS_0', 'Sex_M'})
0.3442265795206972	frozenset({'Oldpeak_Low', 'HeartDisease_0'})
0.3453159041394335	frozenset({'HeartDisease_0', 'ST_Slope_Up'})
0.4150326797385621	frozenset({'HeartDisease_1', 'ST_Slope_Flat'})
0.4989106753812636	frozenset({'HeartDisease_1', 'Sex_M'})
0.35185185185185186	frozenset({'Oldpeak_Low', 'ST_Slope_Up'})
0.39433551198257083	frozenset({'Oldpeak_Low', 'Sex_M'})
0.47276688453159044	frozenset({'RestingECG_Normal', 'Sex_M'})
0.41938997821350765	frozenset({'ST_Slope_Flat', 'Sex_M'})
0.38453159041394336	frozenset({'HeartDisease_1', 'ChestPainType_ASY', 'Sex_M'})
0.3464052287581699	frozenset({'FastingBS_0', 'ExerciseAngina_N', 'HeartDisease_0'})
0.35838779956427014	frozenset({'FastingBS_0', 'Oldpeak_Low', 'ExerciseAngina_N'})
0.3660130718954248	frozenset({'FastingBS_0', 'RestingECG_Normal', 'Sex_M'})
0.37254901960784315	frozenset({'HeartDisease_1', 'ST_Slope_Flat', 'Sex_M'})
