antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'EKG_results_0'})	frozenset({'Chest_pain_type_Very_high'})	0.48518518518518516	0.7703703703703704	0.362962962962963	0.7480916030534353	0.9710804462712861	-0.010809327846364847	0.9115600448933787	-0.05468424705065908
frozenset({'EKG_results_2'})	frozenset({'Chest_pain_type_Very_high'})	0.5074074074074074	0.7703703703703704	0.4	0.7883211678832117	1.023301516002246	0.00910836762688616	1.0848020434227332	0.04622667780562525
frozenset({'Exercise_angina_0'})	frozenset({'Chest_pain_type_Very_high'})	0.6703703703703704	0.7703703703703704	0.4703703703703704	0.7016574585635359	0.9108053548661283	-0.04606310013717424	0.7696844993141289	-0.229043039356115
frozenset({'Chest_pain_type_Very_high'})	frozenset({'Exercise_angina_0'})	0.7703703703703704	0.6703703703703704	0.4703703703703704	0.6105769230769231	0.9108053548661283	-0.04606310013717424	0.846456332876086	-0.2989672364672366
frozenset({'Exercise_angina_1'})	frozenset({'Chest_pain_type_Very_high'})	0.3296296296296296	0.7703703703703704	0.3	0.9101123595505618	1.1813958513396716	0.04606310013717424	2.5546296296296296	0.229043039356115
frozenset({'Chest_pain_type_Very_high'})	frozenset({'FBS_over_120_0'})	0.7703703703703704	0.8518518518518519	0.6592592592592592	0.8557692307692307	1.0045986622073577	0.0030178326474622486	1.0271604938271601	0.019934758970641352
frozenset({'FBS_over_120_0'})	frozenset({'Chest_pain_type_Very_high'})	0.8518518518518519	0.7703703703703704	0.6592592592592592	0.7739130434782608	1.0045986622073577	0.0030178326474622486	1.0156695156695155	0.030898876404494093
frozenset({'Heart_Disease_A'})	frozenset({'Chest_pain_type_Very_high'})	0.5555555555555556	0.7703703703703704	0.37037037037037035	0.6666666666666666	0.8653846153846153	-0.05761316872427985	0.6888888888888888	-0.2592592592592593
frozenset({'Heart_Disease_P'})	frozenset({'Chest_pain_type_Very_high'})	0.4444444444444444	0.7703703703703704	0.4	0.9000000000000001	1.1682692307692308	0.05761316872427985	2.2962962962962994	0.2592592592592593
frozenset({'Number_of_vessels_fluro_Very_high'})	frozenset({'Chest_pain_type_Very_high'})	0.4074074074074074	0.7703703703703704	0.34814814814814815	0.8545454545454546	1.1092657342657344	0.03429355281207136	1.5787037037037044	0.1662234042553193
frozenset({'Number_of_vessels_fluro_Very_low'})	frozenset({'Chest_pain_type_Very_high'})	0.5925925925925926	0.7703703703703704	0.4222222222222222	0.7125	0.9248798076923077	-0.034293552812071304	0.7987117552334945	-0.16622340425531903
frozenset({'Chest_pain_type_Very_high'})	frozenset({'Sex_1'})	0.7703703703703704	0.6777777777777778	0.5222222222222223	0.6778846153846154	1.00015762925599	8.230452674895528e-05	1.0003316749585407	0.0006863417982153785
frozenset({'Sex_1'})	frozenset({'Chest_pain_type_Very_high'})	0.6777777777777778	0.7703703703703704	0.5222222222222223	0.7704918032786885	1.00015762925599	8.230452674895528e-05	1.0005291005291004	0.0004891171435557871
frozenset({'Slope_of_ST_1'})	frozenset({'Chest_pain_type_Very_high'})	0.48148148148148145	0.7703703703703704	0.337037037037037	0.7000000000000001	0.9086538461538463	-0.03388203017832647	0.7654320987654323	-0.16239316239316237
frozenset({'Slope_of_ST_2'})	frozenset({'Chest_pain_type_Very_high'})	0.45185185185185184	0.7703703703703704	0.3814814814814815	0.8442622950819673	1.0959174022698615	0.03338820301783263	1.474463937621833	0.15966937811597998
frozenset({'Thallium_3'})	frozenset({'Chest_pain_type_Very_high'})	0.562962962962963	0.7703703703703704	0.3962962962962963	0.7039473684210527	0.9137778340080972	-0.03739368998628256	0.7756378600823046	-0.17756644085461168
frozenset({'Thallium_7'})	frozenset({'Chest_pain_type_Very_high'})	0.3851851851851852	0.7703703703703704	0.337037037037037	0.875	1.1358173076923077	0.040301783264746205	1.837037037037037	0.19449225473321846
frozenset({'EKG_results_0'})	frozenset({'Exercise_angina_0'})	0.48518518518518516	0.6703703703703704	0.34814814814814815	0.717557251908397	1.070389270802581	0.022894375857338833	1.1670670670670673	0.12773610898515236
frozenset({'EKG_results_0'})	frozenset({'FBS_over_120_0'})	0.48518518518518516	0.8518518518518519	0.4222222222222222	0.8702290076335878	1.0215731828742118	0.008916323731138542	1.1416122004357299	0.04101981572636626
